# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_ZjJqMGmg","[""2021-04-07-00-48-37-381_Video.mp4""]",11.987,14.549,"{""Activity"":""Prendi""}"
"1_C2kOJfzX","[""2021-04-07-00-48-37-381_Video.mp4""]",17.905,19.799,"{""Activity"":""Prendi""}"
"1_P9c6izQa","[""2021-04-07-00-48-37-381_Video.mp4""]",23.37,25.299,"{""Activity"":""Rilascia""}"
"1_bJpxHfdo","[""2021-04-07-00-48-37-381_Video.mp4""]",26.727,28.835,"{""Activity"":""Rilascia""}"
"1_8pEODhei","[""2021-04-07-00-48-37-381_Video.mp4""]",30.815,33.12,"{""Activity"":""Premi""}"
"1_2U5jx8ch","[""2021-04-07-00-48-37-381_Video.mp4""]",36.656,38.977,"{""Activity"":""Prendi""}"
"1_MwD6AkbJ","[""2021-04-07-00-48-37-381_Video.mp4""]",40.656,42.727,"{""Activity"":""Prendi""}"
"1_aC9P861N","[""2021-04-07-00-48-37-381_Video.mp4""]",45.227,47.299,"{""Activity"":""Rilascia""}"
"1_dqWwkFaL","[""2021-04-07-00-48-37-381_Video.mp4""]",49.977,52.442,"{""Activity"":""Rilascia""}"
"1_zUZpFTj2","[""2021-04-07-00-48-37-381_Video.mp4""]",57.942,59.977,"{""Activity"":""Premi""}"
"1_OLzzXbbS","[""2021-04-07-00-48-37-381_Video.mp4""]",60.977,63.513,"{""Activity"":""Premi""}"
"1_R0GPgAXS","[""2021-04-07-00-48-37-381_Video.mp4""]",66.335,69.192,"{""Activity"":""Prendi""}"
"1_sNw2DIVN","[""2021-04-07-00-48-37-381_Video.mp4""]",73.085,75.835,"{""Activity"":""Rilascia""}"
"1_ALRLFXFO","[""2021-04-07-00-48-37-381_Video.mp4""]",79.085,81.648,"{""Activity"":""Prendi""}"
"1_hIJqyFnN","[""2021-04-07-00-48-37-381_Video.mp4""]",84.148,86.648,"{""Activity"":""Rilascia""}"
"1_CiG4SLSB","[""2021-04-07-00-48-37-381_Video.mp4""]",89.523,92.71,"{""Activity"":""Premi""}"
"1_srI9n2XD","[""2021-04-07-00-48-37-381_Video.mp4""]",95.273,98.148,"{""Activity"":""Prendi""}"
"1_K3lCK241","[""2021-04-07-00-48-37-381_Video.mp4""]",100.273,102.71,"{""Activity"":""Rilascia""}"
